单词,词构解释,词性1,意思1.1,中英解释1.1,词组1.1.1,例句1.1.1,词组1.1.2,例句1.1.2,词组1.1.3,例句1.1.3,词组1.1.4,例句1.1.4,意思1.2,中英解释1.2,词组1.2.1,例句1.2.1,词组1.2.2,例句1.2.2,词组1.2.3,例句1.2.3,词组1.2.4,例句1.2.4,意思1.3,中英解释1.3,词组1.3.1,例句1.3.1,词组1.3.2,例句1.3.2,词组1.3.3,例句1.3.3,词组1.3.4,例句1.3.4,意思1.4,中英解释1.4,词组1.4.1,例句1.4.1,词组1.4.2,例句1.4.2,词组1.4.3,例句1.4.3,词组1.4.4,例句1.4.4,意思1.5,中英解释1.5,词组1.5.1,例句1.5.1,词组1.5.2,例句1.5.2,词组1.5.3,例句1.5.3,词组1.5.4,例句1.5.4,词性2,意思2.1,中英解释2.1,词组2.1.1,例句2.1.1,词组2.1.2,例句2.1.2,词组2.1.3,例句2.1.3,词组2.1.4,例句2.1.4,意思2.2,中英解释2.2,词组2.2.1,例句2.2.1,词组2.2.2,例句2.2.2,词组2.2.3,例句2.2.3,词组2.2.4,例句2.2.4,意思2.3,中英解释2.3,词组2.3.1,例句2.3.1,词组2.3.2,例句2.3.2,词组2.3.3,例句2.3.3,词组2.3.4,例句2.3.4,意思2.4,中英解释2.4,词组2.4.1,例句2.4.1,词组2.4.2,例句2.4.2,词组2.4.3,例句2.4.3,词组2.4.4,例句2.4.4,意思2.5,中英解释2.5,词组2.5.1,例句2.5.1,词组2.5.2,例句2.5.2,词组2.5.3,例句2.5.3,词组2.5.4,例句2.5.4,词性3,意思3.1,中英解释3.1,词组3.1.1,例句3.1.1,词组3.1.2,例句3.1.2,词组3.1.3,例句3.1.3,词组3.1.4,例句3.1.4,意思3.2,中英解释3.2,词组3.2.1,例句3.2.1,词组3.2.2,例句3.2.2,词组3.2.3,例句3.2.3,词组3.2.4,例句3.2.4,意思3.3,中英解释3.3,词组3.3.1,例句3.3.1,词组3.3.2,例句3.3.2,词组3.3.3,例句3.3.3,词组3.3.4,例句3.3.4,意思3.4,中英解释3.4,词组3.4.1,例句3.4.1,词组3.4.2,例句3.4.2,词组3.4.3,例句3.4.3,词组3.4.4,例句3.4.4,意思3.5,中英解释3.5,词组3.5.1,例句3.5.1,词组3.5.2,例句3.5.2,词组3.5.3,例句3.5.3,词组3.5.4,例句3.5.4,词型变化,单词比较,共性,差异
debate,,vi&vt, (正式 ) 讨论; 辩论,to discuss sth in a formal way or at a public meeting (discuss):,,We debated for  debate (sth) with sb: hour on the advantages and disadvantages of his plan. 关于他的计划的利与弊，我们讨论了一个小时, debate (sth) with sb:,We must debate the problem with the rest of the members. 我们必须和其他成员讨论这个问题。,debate + wh- 从名 / wh- to do:, My friends and I sometimes debate whether or not there is life on other planets. 我和朋友们有时会讨论在其他星球上是否存在生命。,,,反复考虑; 斟酌 ,to think about or discuss sth before deciding what to do:,, This Christmas I was debating what to give my father. 我在考虑这个圣诞节送给父亲什么礼物。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,[C) & (Ul 讨论;辩论；争论,,the Debate Club 辩论社,,open / close a debate 开始 /终止辩论,,under debate 在讨论/辩论中,,,there is a fierce /heated debate about /on /over the question whether the experiment should be allowed. 在是否进行这个实验的问题上展开了激烈的争论。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gym ,,n,[非正式用语]IC) 体育馆; 健身房 (gymnasium),,,,,,,,,,[非正式用语]IU) ( 尤指学校的 ) 室内体育活动:,,,We did an hour of gym. 我们进行了一小时的体育活动。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gymnastics ,,n, [U] 体操; 体操训练,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piano,,n ,C] (pl   pianos) 钢琴:,,play the piano 弹钢琴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 pianist ,piano+-ist（……专家）,n,[C] 钢琴家;钢琴演奏家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage ,,n,[C]  舞台:,,," When the superstar appeared on stage, all the audience stood up to applaud. 当这位巨星出现在舞台上时，所有的观众都站起来鼓掌。   ",,,,,,,[ 与 the 连用] 戏剧表演:,,,"For him, the stage is just a means of making a living. 对他来说，戏剧表演只是谋生的手段。",,,,,,,时期; 阶段, one part of the progress or development of sth:,at different stages of development 在不同的发展时期,,,Their child is at the stage where she can say individual words but not full sentences. 他们的孩子正处于能说单个词，但还不能说完整句子的阶段。,set the stage for 为……做准备; 使……成为可能:,"While high school does not generally encourage students to explore new aspects of life, college sets the stage for that exploration. 尽管中学通常不鼓励学生对人生的各个方面进行探索, 但是大学却要为这一探索做准备。",,,,,,,,,,,,,,,,,,,,,,,vf ,上演; 举办; 组织; 筹划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
photography ,photo- (摄影的) + -graphy (图像制作技术),n,[U] 摄影; 摄影术 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
photographic ,,adj ,摄影的; 照片的; 详细准确的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inner ,[反outer|,adj ,内心的:,,an inner room 内室,,the inner feelings 内心的感情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm / p.m. / P.M.  ,,,[用于表示时间的数字后 ] 午后; 下午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argue  ,,vi ,争论；争辩； 争吵:,,argue (with sb) (about / over sth):,Do you ever argue with your family about which TV programme to watch? 你曾为看哪个电视节目和家人争论过吗?,,Gun control is a subject about which Americans have argued for a long time. 枪支管控是美国人争论已久的话题。  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vi & vt,论证,to give reasons that support your opinion about sth:,,The author argued for / against free university education. 作者给出理由主张/反对免费大学教育。     ,,It has been argued by some that gifted children should be grouped in special classes. 有些人论证说有天赋的孩子应该被分在专门的班级里。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument , argue +-ment (名词后缀), n ,[C] & [U] 争吵; 争论; 辩论:,,have an argument (with sb) (about / over sth) (就某事) (与某人) 发送争论/争吵,I got into a heated argument with a friend. 我与一个朋友发生了激烈的争吵。,,"Settle the question by argument, not by fight. 解决这个问题要靠说理，而不是靠打架。",,,,,IC) 论据; 理由; 论点:,,,This paragraph gives the arguments against cars. 此段给出了反对使用汽车的理由。,,We all found his argument convincing and interesting. 我们都觉得他的观点既有说服力又有意思。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topic,, n ,[C] 话题; 论题; 题目:,,a hot/ sensitive topic 热门/敏感话题,,,Be sure to stay on topic and not offer irrelevant information. 一定要切题，不要提供不相关的信息。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharp ,,adj,锋利的；尖的,刀具等’尖的‘,sharp teeth 锋利的牙齿,,,,,,,, (感官 ) 敏锐的; (人) 机灵的； 反dull/stupid ,感官或头脑’尖的‘ ,,Argue about the Weeks hottest topics with the school’s sharpest minds! 和学校里最聪明的人讨论本周最热门的话题!,,She has sharp eyes. 她目光敏锐。,,,,, ( 言辞等 ) 尖刻的; 严厉的 ,(of a person or what they say) critical or severe；言语’尖的‘,be sharp with sb 对某人严厉,,,She has a sharp tongue. 她说话很刻薄。,,,,, ( 角度、变化等 ) 急剧的,"sudden and rapid, especially of a change: =角度.变化等’尖的‘",a sharp bend 急转弯,, a sharp drop / increase in prices 价格急剧下跌/ 上涨,,,,,, 剧烈的; 猛烈的,感觉或感情上’尖的‘,, I felt a sharp pain in my back. 我感到背上一阵剧痛。,,,,,,,,尖厉的; 刺耳的, 声音“尖的’,,Through all the noise came a sharp warning cry. 噶杂中传来一声尖锐的警告声。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adv ,( 指时刻 ) 整:,,2 o'clock sharp 两点整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharply,,adv,急剧地; 严厉地:,,,House prices have risen sharply over the last decade. 过去十年里房价急剧上涨。, speak sharply to sb 斥责某人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinosaur ,,n,[C] 恐龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin ,,n,(C] 海豚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intelligent ,,adj, 有才智的，有智力的; 智能的:,,intelligent students / questions / beings 聪明的学生 / 机智的问题 / 有智力的生物,,intelligent software / systems 智能软件 / 系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 intelligence ,,n,[U] 才智; 智力; 聪明; 情报:,,[U] 才智; 智力; 聪明; 情报:,,artificial intelligence (Al) 人工智能,,,"While your IQ (intelligence quotient) tells you how intelligent you are, your EQ (emotional  quotient) tells you how well you use your intelligence. 智商表明你到底有多聪明，而情商表明你如何善用智慧。     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investigate ,,vt& vi,调查; 侦查; 调查研究:,,,You'll have to stay here until we investigate this affair. 在我们调查清楚这件事之前，你必须待在这儿,,Tu Youyou and her team used modern research methods to investigate the Chinese herbs one by one.屠呦呦和她的团队采用现代的研究方法对这些中草药逐一进行研究。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
various ,,adj,不同的; 各种各样的,(diverse / different),various kinds of theme parks 各种各样的主题公园,,,She decided to move to the countryside for various reasons. 出于种种原因她决定搬到乡下去。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 variously ,,adv,不同地; 各种各样地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volunteer ,,n, [C] 志愿者; 自愿参加者:,,,Schools need volunteers to teach children to read. 学校需要教孩子阅读的志愿者。,,Are there any volunteers to help clean the blackboard? 有人自愿帮忙擦黑板吗?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vt&vi,自愿/无偿 ( 做某事 ) ; 主动说:,,,She has been volunteering her time and talents to the work for more than 40 years. 四十多年来她一直自愿将时间和才能倾注在这项工作上。  ,,The couple who live next to us volunteered to help after the volcano erupted. 火山爆发后，住在我们隔壁的夫妻自愿来帮忙。   ,,"If nobody else volunteers, then I will do it.   如果没有别人愿意做的话，那就我来做吧",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voluntary ,volunt + -ary (形容词后缀),adj, 志愿的; 自愿的,,do voluntary work 做志愿工作,,a voluntary worker 志愿者,,,Attendance on the course is purely voluntary. 听这门课纯属自愿。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gain ,,vt ,(使 ) 获得; 赢得,"to get or win sth, especially sth that is wanted or needed: =‘获得’需要或想要的东西",gain a degree / skills 获得学位/技能,,,Her honesty gained her the trust of her teacher. 她的诚实使地赢得了老师的信任。,gain ground 变得更强大 / 更成功/更有效; 逼近,,,,增加,to gradually get more of sth [反lose]: = 逐渐“获得′ 体重、信心等   ,,i have gained a lot of weight recently. 我的体重最近增加了许多。,,The young people gradually gain confidence in their abilities. 这些年轻人对自己的能力渐渐有了信心。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vt&vi,获(益) ,to get an advantage from (doing) sth: =“获得”益处,gain advantages from 从……:获得好处,,, There’s nothing to be gained by losing your temper. 发脾气无济于事。,,We gain from cutting trees but we will suffer much more than we will benefit. 砍伐树木有利可图，但是我们日后为此付出的代价远大于从中得到的好处。,,,(钟、表等走得) 快,[反lose]:  =“获得”时间,,My watch gains (by) several minutes a day. 我的表一天快几分钟。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,[C] 好处; 利益; [U] 利润:,   ,,These policies have resulted in great gains in public health .这些政策使公共卫生得到极大改善。,,Such research should not be for personal gain. 这种研究不应该是为了个人利益。,,,,, IC] & [U] 增加 ,[反loss],a gain in earnings 收入的增加,,,"Regular exercise is the best way of preventing weight gain, 经常锻炼是防止体重增加的最佳方法。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
